timestamp,cell_id,latency_ms,throughput_mbps,packet_loss_pct,sinr_db,connected_users,anomaly
2024-01-01 00:00:00,CELL_001,32.45,101.41,0.151,14.99,19,0
2024-01-01 00:15:00,CELL_001,36.2,91.86,0.033,15.64,9,0
2024-01-01 00:30:00,CELL_001,35.27,93.38,0.137,15.96,12,0
2024-01-01 00:45:00,CELL_001,37.25,105.13,0.537,11.7,13,0
2024-01-01 01:00:00,CELL_001,40.34,95.01,0.202,15.87,9,0
2024-01-01 01:15:00,CELL_001,40.19,97.66,0.046,12.65,28,0
2024-01-01 01:30:00,CELL_001,35.77,87.82,0.544,14.23,26,0
2024-01-01 01:45:00,CELL_001,42.78,90.85,0.636,13.05,21,0
2024-01-01 02:00:00,CELL_001,37.05,91.6,0.069,15.52,23,0
2024-01-01 02:15:00,CELL_001,43.9,95.27,0.586,13.79,20,0
2024-01-01 02:30:00,CELL_001,44.93,90.14,0.369,12.11,20,0
2024-01-01 02:45:00,CELL_001,40.8,78.52,1.025,11.48,16,0
2024-01-01 03:00:00,CELL_001,39.03,92.15,0.424,12.18,22,0
2024-01-01 03:15:00,CELL_001,43.61,82.48,0.355,8.37,18,0
2024-01-01 03:30:00,CELL_001,47.78,80.72,1.001,11.52,20,0
2024-01-01 03:45:00,CELL_001,45.99,85.79,0.039,15.63,22,0
2024-01-01 04:00:00,CELL_001,49.31,77.03,0.262,11.05,7,0
2024-01-01 04:15:00,CELL_001,43.81,80.99,0.065,9.94,14,0
2024-01-01 04:30:00,CELL_001,46.93,85.52,0.157,12.27,18,0
2024-01-01 04:45:00,CELL_001,49.11,93.22,0.321,13.91,24,0
2024-01-01 05:00:00,CELL_001,49.24,75.23,0.53,12.06,25,0
2024-01-01 05:15:00,CELL_001,44.48,83.11,0.205,12.32,38,0
2024-01-01 05:30:00,CELL_001,49.45,78.89,0.152,12.12,23,0
2024-01-01 05:45:00,CELL_001,44.38,85.77,0.203,11.66,49,0
2024-01-01 06:00:00,CELL_001,42.62,74.07,0.419,13.73,43,0
2024-01-01 06:15:00,CELL_001,47.36,84.61,0.287,13.28,47,0
2024-01-01 06:30:00,CELL_001,45.14,85.48,0.063,10.88,45,0
2024-01-01 06:45:00,CELL_001,42.45,74.29,0.522,12.26,55,0
2024-01-01 07:00:00,CELL_001,45.1,82.62,0.301,10.78,67,0
2024-01-01 07:15:00,CELL_001,45.43,83.85,0.789,11.56,68,0
2024-01-01 07:30:00,CELL_001,43.93,81.14,0.155,14.05,77,0
2024-01-01 07:45:00,CELL_001,41.19,82.65,0.226,9.0,84,0
2024-01-01 08:00:00,CELL_001,42.08,82.87,0.655,12.76,81,0
2024-01-01 08:15:00,CELL_001,44.88,77.53,0.041,14.58,75,0
2024-01-01 08:30:00,CELL_001,44.42,82.29,0.312,12.51,88,0
2024-01-01 08:45:00,CELL_001,42.92,94.48,0.397,10.96,91,0
2024-01-01 09:00:00,CELL_001,42.71,84.13,0.215,14.21,83,0
2024-01-01 09:15:00,CELL_001,43.39,90.71,0.069,12.25,90,0
2024-01-01 09:30:00,CELL_001,41.5,92.35,0.406,12.3,93,0
2024-01-01 09:45:00,CELL_001,35.65,90.18,0.111,13.86,96,0
2024-01-01 10:00:00,CELL_001,40.73,78.45,0.094,12.35,93,0
2024-01-01 10:15:00,CELL_001,38.48,93.49,0.235,14.56,97,0
